iter	RMSE
0	0.4601092229
1	0.4546840363
2	0.4507588094
3	0.4445698657
4	0.4410258855
5	0.4350826824
6	0.4300653299
7	0.4276816721
8	0.4250933865
9	0.4188328608
10	0.4154732163
11	0.4105601203
12	0.4083997922
13	0.405705374
14	0.4039003788
15	0.4010847106
16	0.3983364255
17	0.3961763427
18	0.394459105
19	0.3916157114
20	0.3900202272
21	0.3882413559
22	0.3866705542
23	0.3853251681
24	0.3826065131
25	0.3806614459
26	0.3787607956
27	0.3779598108
28	0.376106408
29	0.3750729689
30	0.374490429
31	0.3717611487
32	0.3707191331
33	0.3681400575
34	0.3666851167
35	0.3636524855
36	0.3624578415
37	0.3594486415
38	0.3579767689
39	0.3572948576
40	0.35662145
41	0.3556318982
42	0.3551587756
43	0.3547695051
44	0.3537438835
45	0.3532832279
46	0.3514562118
47	0.3507197747
48	0.3498303132
49	0.3494012526
50	0.3486330581
51	0.3469168246
52	0.3458899938
53	0.3447880514
54	0.344054403
55	0.3430394636
56	0.3406641201
57	0.3398297416
58	0.3393499279
59	0.3386779246
60	0.3377871316
61	0.3372713372
62	0.3362028283
63	0.3354790817
64	0.3349376301
65	0.3339391716
66	0.3330472592
67	0.3324650924
68	0.3319087918
69	0.3313694168
70	0.3303139267
71	0.3290925535
72	0.328612027
73	0.3278261059
74	0.3274419021
75	0.3268195083
76	0.3263312206
77	0.3259059825
78	0.3254401057
79	0.3248877652
80	0.324324842
81	0.3230060385
82	0.322684822
83	0.3222267134
84	0.321727476
85	0.321249985
86	0.3195241164
87	0.3189447276
88	0.3184802042
89	0.316424044
90	0.315978142
91	0.3156001913
92	0.3152421519
93	0.3149094895
94	0.3146088413
95	0.314207993
96	0.3122856195
97	0.3118694097
98	0.3115009168
99	0.3100219982
100	0.3075916275
101	0.3071714265
102	0.3067995415
103	0.3064457505
104	0.3051872826
105	0.3048187671
106	0.3045273647
107	0.3040474022
108	0.3037605046
109	0.3020873426
110	0.3017706167
111	0.3015422993
112	0.3001446049
113	0.2998932466
114	0.2995654427
115	0.2986986501
116	0.2983807313
117	0.2980884
118	0.297782704
119	0.2975804188
120	0.2968446509
121	0.2962671444
122	0.2960677988
123	0.2955267728
124	0.2952145572
125	0.2941688676
126	0.2938091901
127	0.2928799213
128	0.2907620366
129	0.2905571999
130	0.2903892707
131	0.2901279265
132	0.2900055973
133	0.2898594393
134	0.2892436977
135	0.287933101
136	0.2876403466
137	0.2863454362
138	0.2861749511
139	0.2858619763
140	0.2854048114
141	0.2851564098
142	0.2850450107
143	0.2842078873
144	0.2826147692
145	0.2824498238
146	0.2821707886
147	0.2809027272
148	0.2807820757
149	0.2805745637
150	0.2794032618
151	0.2792318045
152	0.2769548327
153	0.2765087137
154	0.2755258659
155	0.2754294097
156	0.2737133008
157	0.2734664881
158	0.2733414231
159	0.2716912916
160	0.2714414174
161	0.271293264
162	0.2697732478
163	0.2685997753
164	0.2672201314
165	0.2667429218
166	0.2665517314
167	0.2644487763
168	0.2638657509
169	0.262728165
170	0.2626067306
171	0.2610524202
172	0.2606258606
173	0.2597256249
174	0.2596328555
175	0.2594168312
176	0.2591961445
177	0.259100461
178	0.2582025853
179	0.2577834029
180	0.2571420493
181	0.2564704622
182	0.2562510284
183	0.2558567566
184	0.254626729
185	0.2535864684
186	0.2526306648
187	0.2524387138
188	0.2522330701
189	0.252075483
190	0.2519913581
191	0.2517496705
192	0.2512175278
193	0.2510165193
194	0.2509270591
195	0.2507216569
196	0.2499546355
197	0.2497853244
198	0.2496817469
199	0.2496240839
200	0.248146379
201	0.2476102944
202	0.2473365073
203	0.2462955067
204	0.2461170134
205	0.2460137179
206	0.2459271382
207	0.2458475107
208	0.2457394669
209	0.2449714175
210	0.2448991198
211	0.2437024567
212	0.2427925948
213	0.2418625991
214	0.2417917767
215	0.2416885632
216	0.2415733691
217	0.2401382497
218	0.2389348529
219	0.2387896914
220	0.2384785956
221	0.2377610236
222	0.2373578847
223	0.2360609338
224	0.2358927341
225	0.235769048
226	0.2356371285
227	0.2355679199
228	0.2352965137
229	0.2352347346
230	0.2349805363
231	0.2341919829
232	0.2337438127
233	0.2336902646
234	0.2330735622
235	0.2330290077
236	0.2322163849
237	0.231660145
238	0.2315468314
239	0.2311984083
240	0.2305766064
241	0.2305310818
242	0.2290495223
243	0.2289037815
244	0.2287958258
245	0.2287040979
246	0.2285676027
247	0.2276675472
248	0.2268360961
249	0.2267092476
250	0.2266002076
251	0.2265329472
252	0.2253296759
253	0.2249350016
254	0.2248573686
255	0.2245784962
256	0.2245217315
257	0.223334728
258	0.2230933185
259	0.223056644
260	0.221973883
261	0.2218697763
262	0.221775853
263	0.2213866701
264	0.2210492054
265	0.2210100914
266	0.2206856117
267	0.2206397593
268	0.2203749246
269	0.2189893068
270	0.2181404033
271	0.2168622172
272	0.2168225255
273	0.2149998188
274	0.2146738253
275	0.2136965111
276	0.2134115334
277	0.2133666356
278	0.213078247
279	0.2124001059
280	0.2122970011
281	0.212080071
282	0.2118847479
283	0.2118131026
284	0.2108805383
285	0.209842388
286	0.2097534462
287	0.2088048448
288	0.208304575
289	0.2075580284
290	0.2070766237
291	0.2055573972
292	0.2052654605
293	0.2047252654
294	0.2046697117
295	0.203799967
296	0.2037643949
297	0.2026119964
298	0.2014387912
299	0.200428091
