iter	Passed	Remaining
0	4	1227
1	8	1231
2	12	1227
3	16	1236
4	20	1237
5	25	1234
6	29	1227
7	33	1225
8	37	1203
9	42	1228
10	46	1223
11	50	1221
12	55	1221
13	59	1214
14	63	1207
15	67	1205
16	72	1199
17	76	1194
18	80	1187
19	84	1180
20	88	1175
21	92	1172
22	96	1168
23	101	1162
24	105	1162
25	109	1157
26	113	1152
27	118	1150
28	122	1148
29	127	1146
30	130	1133
31	135	1131
32	139	1125
33	143	1121
34	148	1121
35	154	1130
36	159	1130
37	164	1132
38	169	1133
39	174	1135
40	179	1135
41	184	1135
42	190	1136
43	195	1136
44	200	1138
45	205	1136
46	210	1135
47	215	1133
48	220	1130
49	225	1126
50	230	1125
51	235	1122
52	240	1120
53	245	1119
54	251	1118
55	255	1115
56	261	1112
57	265	1109
58	270	1105
59	276	1104
60	281	1101
61	286	1098
62	291	1095
63	295	1090
64	300	1087
65	305	1083
66	310	1080
67	315	1076
68	320	1074
69	325	1069
70	330	1065
71	335	1060
72	339	1056
73	344	1052
74	349	1048
75	354	1044
76	359	1040
77	363	1035
78	368	1032
79	373	1027
80	378	1023
81	384	1021
82	388	1016
83	393	1012
84	398	1008
85	403	1003
86	408	1000
87	413	996
88	418	991
89	423	987
90	428	984
91	434	982
92	438	977
93	443	972
94	448	968
95	453	963
96	458	959
97	463	955
98	468	951
99	473	946
100	478	942
101	483	938
102	488	934
103	493	929
104	498	925
105	503	920
106	508	917
107	513	912
108	518	908
109	522	903
110	527	898
111	532	894
112	537	889
113	542	885
114	547	881
115	552	876
116	557	871
117	562	866
118	567	862
119	572	858
120	577	854
121	582	850
122	587	845
123	592	841
124	597	836
125	603	833
126	608	828
127	613	823
128	618	820
129	623	815
130	628	811
131	633	806
132	638	801
133	642	796
134	648	792
135	652	787
136	657	782
137	662	777
138	667	772
139	672	768
140	677	764
141	682	759
142	688	755
143	694	752
144	699	748
145	704	743
146	709	738
147	714	733
148	719	728
149	724	724
150	729	720
151	734	715
152	740	711
153	745	706
154	750	701
155	754	696
156	760	692
157	764	687
158	770	683
159	775	678
160	781	674
161	786	670
162	792	665
163	797	661
164	803	657
165	809	653
166	815	649
167	820	644
168	826	640
169	831	636
170	837	631
171	842	627
172	847	622
173	854	618
174	860	614
175	866	610
176	871	605
177	876	600
178	883	596
179	888	592
180	894	588
181	907	588
182	913	584
183	919	579
184	925	575
185	952	583
186	958	578
187	964	574
188	971	570
189	978	566
190	985	562
191	991	557
192	998	553
193	1006	550
194	1026	552
195	1031	547
196	1038	543
197	1045	538
198	1051	533
199	1058	529
200	1066	525
201	1071	520
202	1078	515
203	1085	510
204	1091	505
205	1096	500
206	1101	495
207	1107	489
208	1112	484
209	1117	478
210	1122	473
211	1127	467
212	1133	462
213	1138	457
214	1142	451
215	1147	446
216	1151	440
217	1158	435
218	1163	430
219	1168	424
220	1172	419
221	1178	413
222	1182	408
223	1187	402
224	1191	397
225	1195	391
226	1200	386
227	1205	380
228	1210	375
229	1214	369
230	1218	364
231	1224	358
232	1228	353
233	1233	347
234	1237	342
235	1242	336
236	1246	331
237	1251	325
238	1255	320
239	1260	315
240	1265	309
241	1271	304
242	1276	299
243	1280	293
244	1285	288
245	1290	283
246	1295	277
247	1299	272
248	1304	267
249	1309	261
250	1314	256
251	1319	251
252	1324	246
253	1328	240
254	1333	235
255	1337	229
256	1342	224
257	1346	219
258	1351	213
259	1355	208
260	1360	203
261	1365	197
262	1369	192
263	1374	187
264	1379	182
265	1383	176
266	1388	171
267	1393	166
268	1398	161
269	1403	155
270	1409	150
271	1415	145
272	1420	140
273	1426	135
274	1431	130
275	1435	124
276	1442	119
277	1447	114
278	1452	109
279	1458	104
280	1464	99
281	1470	93
282	1474	88
283	1479	83
284	1485	78
285	1501	73
286	1509	68
287	1516	63
288	1522	57
289	1528	52
290	1535	47
291	1542	42
292	1548	36
293	1554	31
294	1559	26
295	1565	21
296	1571	15
297	1577	10
298	1584	5
299	1589	0
